timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,status
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:15.9,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.0,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.1,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.2,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.3,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.4,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.5,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.6,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
