timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm
44:59.5,218.35,78.5,14.55,0
44:59.5,205,78.5,10.25,0
44:59.5,187.6,78.5,4.05,0
44:59.5,166.25,78.5,4.7,0
44:59.5,138.05,78.5,6.55,0
44:59.5,127.1,78.5,7.25,0
44:59.6,105.05,78.5,9.05,0
44:59.6,76.8,78.5,5.4,0
44:59.6,67,78.5,4.1,0
44:59.6,45.7,78.5,-7.2,0
44:59.6,38.65,78.5,4.25,0
44:59.6,24.1,78.5,3.35,0
44:59.6,6.4,78.5,-3.25,0
44:59.6,-5.9,78.5,1.1,0
44:59.6,-23.7,78.5,1.8,0
44:59.6,-32.95,78.5,-2.15,0
44:59.7,-33.2,78.5,3.5,0
44:59.7,-52.5,78.5,-0.45,0
44:59.7,-61.8,78.5,-0.6,0
44:59.7,-57,78.5,4.1,0
44:59.7,-55.05,78.5,5.2,0
44:59.7,-52.85,78.5,0.35,0
44:59.7,-50.6,78.5,4.95,0
44:59.7,-53.25,78.5,-0.15,0
44:59.7,-47.65,78.5,-8.7,0
44:59.7,-26.7,78.5,-2.5,0
44:59.8,-24.05,78.5,-10.75,0
44:59.8,-23.95,78.5,-15.85,0
44:59.8,-32.95,78.5,-23.5,0
44:59.8,-28.35,78.5,-27.45,0
44:59.8,-24.4,78.5,-32.45,0
44:59.8,-28.15,78.5,-24.75,0
44:59.8,-24.25,78.5,-25.25,0
44:59.8,-26.25,78.5,-32.05,0
44:59.8,-27.6,78.5,-21.25,0
44:59.8,-22.35,78.5,-22.5,0
44:59.9,-27.6,78.5,-11.9,0
44:59.9,-28.7,78.5,-15.25,0
44:59.9,-36.9,78.5,-11.7,0
44:59.9,-23.65,78.5,-8.95,0
44:59.9,-23.45,78.5,4.25,0
44:59.9,-30.9,78.5,2.35,0
44:59.9,-24.7,78.5,-0.1,0
44:59.9,-30.5,78.5,6.9,0
44:59.9,-29.2,78.5,-1.1,0
44:59.9,-27,78.5,10.65,0
45:00.0,-25.75,78.5,18.55,0
45:00.0,-27.4,78.5,26.7,0
45:00.0,-19,78.5,14.95,0
45:00.0,-13.7,78.5,13.95,0
45:00.0,-9.5,78.5,15.45,0
45:00.0,-6.75,78.5,24.7,0
45:00.0,-2.15,78.5,20.95,0
45:00.0,-8.45,78.5,12.1,0
45:00.0,-3.2,78.5,10.7,0
45:00.0,-4.7,78.5,15.8,0
45:00.1,-2.7,78.5,4.85,0
45:00.1,-13.3,78.5,8.4,0
