timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,status,
2025-08-12 14:22,-74.36,92.86,-48.63,90.69,-10,OK
2025-08-12 14:22,-81.42,92.86,-52.9,90.69,-10,OK
2025-08-12 14:22,-89.4,92.86,-57.2,90.69,-10,OK
2025-08-12 14:22,-96.83,92.86,-61.1,90.69,-10,OK
2025-08-12 14:22,-102.06,92.86,-65.11,90.69,-10,OK
2025-08-12 14:22,-107.36,92.86,-66.84,90.69,-10,OK
2025-08-12 14:22,-112.05,92.86,-67.51,90.69,-10,OK
2025-08-12 14:22,-116.15,92.86,-67.26,90.69,-10,OK
2025-08-12 14:22,-118.4,92.86,-67.33,90.69,-10,OK
2025-08-12 14:22,-118.03,92.86,-66.92,90.69,-10,OK
2025-08-12 14:22,-114.45,92.86,-65.95,90.69,-10,OK
2025-08-12 14:22,-111.2,92.86,-66.94,90.69,-10,OK
2025-08-12 14:22,-107.71,92.86,-63.7,90.69,-10,OK
2025-08-12 14:22,-99.63,92.86,-59.92,90.69,-10,OK
2025-08-12 14:22,-91.16,92.86,-53.79,90.69,-10,OK
2025-08-12 14:22,-77.91,92.86,-47.72,90.69,-10,OK
2025-08-12 14:22,-56.8,92.86,-37.82,90.69,-10,OK
2025-08-12 14:22,-22.41,92.86,-26.57,90.69,-10,OK
2025-08-12 14:22,20.29,92.86,-8.74,90.69,-10,OK
2025-08-12 14:22,78.18,92.86,15.62,90.69,-10,OK
2025-08-12 14:22,145.09,92.86,48.3,90.69,-10,OK
2025-08-12 14:22,221.01,112.22,89.15,90.69,-10,OK
2025-08-12 14:22,296.82,112.22,134.21,90.69,-10,OK
2025-08-12 14:22,364.68,112.22,182.38,90.69,-10,OK
2025-08-12 14:22,418.76,112.22,228.2,108.87,30,OK
2025-08-12 14:22,451.91,112.22,268.88,108.87,30,OK
2025-08-12 14:22,458.18,112.22,301.15,108.87,30,OK
2025-08-12 14:22,435.97,112.22,324.19,108.87,30,OK
2025-08-12 14:22,386.74,112.22,333.37,108.87,30,OK
2025-08-12 14:22,310.47,112.22,332.15,108.87,30,OK
2025-08-12 14:22,218.84,112.22,320.62,108.87,30,OK
2025-08-12 14:22,116.36,112.22,298.19,108.87,30,OK
2025-08-12 14:22,12.88,112.22,267.68,108.87,30,OK
2025-08-12 14:22,-82.76,112.22,232.57,108.87,30,OK
2025-08-12 14:22,-165.22,112.22,192.29,108.87,30,OK
2025-08-12 14:22,-235.29,112.22,152.28,108.87,30,OK
2025-08-12 14:22,-290.33,112.22,109.93,108.87,30,OK
2025-08-12 14:22,-328.66,112.22,69.32,108.87,30,OK
2025-08-12 14:22,-355.55,112.22,31.76,108.87,30,OK
2025-08-12 14:22,-371.99,112.22,-3.18,108.87,30,OK
2025-08-12 14:22,-376.69,112.22,-37.67,108.87,30,OK
2025-08-12 14:22,-370.46,112.22,-65.17,108.87,30,OK
2025-08-12 14:22,-358.86,112.22,-90.65,108.87,30,OK
2025-08-12 14:22,-338.25,112.22,-114.1,108.87,30,OK
2025-08-12 14:22,-311.4,112.22,-132.53,108.87,30,OK
2025-08-12 14:22,-281.56,112.22,-147.05,108.87,30,OK
2025-08-12 14:22,-249.94,112.22,-159.09,108.87,30,OK
2025-08-12 14:22,-215.62,112.22,-168.75,108.87,30,OK
2025-08-12 14:22,-183.12,112.22,-174.88,108.87,30,OK
2025-08-12 14:22,-153.84,112.22,-177.41,108.87,30,OK
2025-08-12 14:22,-126.56,112.22,-174.23,108.87,30,OK
2025-08-12 14:22,-102.07,112.22,-169.31,108.87,30,OK
2025-08-12 14:22,-81.44,112.22,-158.36,108.87,30,OK
2025-08-12 14:22,-66.97,112.22,-145.16,108.87,30,OK
2025-08-12 14:22,-56.36,112.22,-130.9,108.87,30,OK
2025-08-12 14:22,-50.66,112.22,-119.69,108.87,30,OK
2025-08-12 14:22,-49.56,112.22,-106.84,108.87,30,OK
2025-08-12 14:22,-53.6,112.22,-96.64,108.87,30,OK
2025-08-12 14:22,-58.2,112.22,-86.46,108.87,30,OK
2025-08-12 14:22,-64.2,112.22,-76.88,108.87,30,OK
2025-08-12 14:22,-71.19,112.22,-68.4,108.87,30,OK
2025-08-12 14:22,-79.39,112.22,-62.9,108.87,30,OK
2025-08-12 14:22,-87.19,112.22,-58.43,108.87,30,OK
2025-08-12 14:22,-95.52,112.22,-55.44,108.87,30,OK
2025-08-12 14:22,-103.65,112.22,-53.07,108.87,30,OK
2025-08-12 14:22,-111.38,112.22,-49.98,108.87,30,OK
2025-08-12 14:22,-119.28,112.22,-45.53,108.87,30,OK
2025-08-12 14:22,-125.68,112.22,-41.58,108.87,30,OK
2025-08-12 14:22,-133.14,112.22,-37.72,108.87,30,OK
2025-08-12 14:22,-140.29,112.22,-34.1,108.87,30,OK
2025-08-12 14:22,-145.91,112.22,-29.58,108.87,30,OK
2025-08-12 14:22,-150.74,112.22,-27.8,108.87,30,OK
2025-08-12 14:22,-154.95,112.22,-21.89,108.87,30,OK
2025-08-12 14:22,-156.36,112.22,-16.51,108.87,30,OK
2025-08-12 14:22,-155.67,112.22,-11.37,108.87,30,OK
2025-08-12 14:22,-154.58,112.22,-8.49,108.87,30,OK
2025-08-12 14:22,-150.17,112.22,-0.8,108.87,30,OK
2025-08-12 14:22,-147.16,112.22,3.18,108.87,30,OK
2025-08-12 14:22,-143.75,112.22,10.31,108.87,30,OK
2025-08-12 14:22,-142.66,112.22,16.05,108.87,30,OK
2025-08-12 14:22,-143.43,112.22,24.05,108.87,30,OK
2025-08-12 14:22,-145.84,112.22,29.11,108.87,30,OK
2025-08-12 14:22,-149.79,112.22,33.8,108.87,30,OK
2025-08-12 14:22,-153.34,112.22,35.03,108.87,30,OK
2025-08-12 14:22,-156.9,112.22,36.18,108.87,30,OK
2025-08-12 14:22,-159.71,112.22,36.16,108.87,30,OK
2025-08-12 14:22,-162.6,112.22,36.83,108.87,30,OK
2025-08-12 14:22,-163.05,112.22,37.59,108.87,30,OK
2025-08-12 14:22,-165.07,112.22,40.36,108.87,30,OK
2025-08-12 14:22,-161.38,112.22,48.09,108.87,30,OK
2025-08-12 14:22,-153.76,112.22,60.39,108.87,30,OK
2025-08-12 14:22,-139.96,112.22,78.4,108.87,30,OK
2025-08-12 14:22,-121.48,112.22,105.99,108.87,30,OK
2025-08-12 14:22,-93.94,112.22,139.55,108.87,30,OK
2025-08-12 14:22,-63.49,112.22,178.87,108.87,30,OK
2025-08-12 14:22,-29.41,112.22,222.11,108.87,30,OK
2025-08-12 14:22,4.76,112.22,265.58,108.87,30,OK
2025-08-12 14:22,41.13,112.22,304.21,90.01,420,OK
2025-08-12 14:22,72.09,121.94,336,90.01,420,OK
2025-08-12 14:22,98.64,121.94,357.51,90.01,420,OK
2025-08-12 14:22,120.04,121.94,364.92,90.01,420,OK
2025-08-12 14:22,135.41,121.94,362.36,90.01,420,OK
